input 28: successful attacks = 1, inputs = [['36']], input deviations = [['19.973476892072153']], output change = ['15.43173789727382'], times = [0.001211404800415039], max_time = 0.001211404800415039
input 29: successful attacks = 8, inputs = [['36'], ['39'], ['40'], ['45'], ['54'], ['56'], ['62'], ['66']], input deviations = [['19.971984526120544'], ['19.98314312327029'], ['19.765144971203938'], ['14.697555450537877'], ['19.965581440344405'], ['16.306454093055173'], ['19.9743745392623'], ['19.24536683335744']], output change = ['15.430584878180781', '27.035175110494293', '12.096807122713102', '27.06666381643481', '12.378874355161628', '11.961087400995353', '16.99361638244315', '22.96744586452067'], times = [0.0011868476867675781, 0.0011508464813232422, 0.0031952857971191406, 0.0019919872283935547, 0.0011372566223144531, 0.0041790008544921875, 0.0011677742004394531, 0.004297494888305664], max_time = 0.004297494888305664
input 30: successful attacks = 1, inputs = [['36']], input deviations = [['19.972571163877042']], output change = ['15.431038121256535'], times = [0.0011410713195800781], max_time = 0.0011410713195800781
input 31: successful attacks = 1, inputs = [['36']], input deviations = [['19.97270711269471']], output change = ['15.431143156876232'], times = [0.0011930465698242188], max_time = 0.0011930465698242188
input 32: successful attacks = 1, inputs = [['36']], input deviations = [['19.97317299724272']], output change = ['15.431503104634544'], times = [0.001186370849609375], max_time = 0.001186370849609375
input 33: successful attacks = 1, inputs = [['36']], input deviations = [['19.972929904359244']], output change = ['15.431315288277801'], times = [0.0011997222900390625], max_time = 0.0011997222900390625
input 34: successful attacks = 1, inputs = [['36']], input deviations = [['19.974606300531818']], output change = ['15.432610491235494'], times = [0.0011563301086425781], max_time = 0.0011563301086425781
input 35: successful attacks = 1, inputs = [['36']], input deviations = [['19.97316985563755']], output change = ['15.431500677394382'], times = [0.0012226104736328125], max_time = 0.0012226104736328125
input 36: successful attacks = 1, inputs = [['36']], input deviations = [['19.97266376534789']], output change = ['15.43110966621768'], times = [0.0011963844299316406], max_time = 0.0011963844299316406
input 37: successful attacks = 1, inputs = [['36']], input deviations = [['19.974360239155956']], output change = ['15.432420381387345'], times = [0.0011799335479736328], max_time = 0.0011799335479736328
input 38: successful attacks = 1, inputs = [['36']], input deviations = [['19.97394319280635']], output change = ['15.432098166582534'], times = [0.0012173652648925781], max_time = 0.0012173652648925781
input 39: successful attacks = 1, inputs = [['36']], input deviations = [['19.974137045086177']], output change = ['15.43224793908297'], times = [0.0011544227600097656], max_time = 0.0011544227600097656
input 40: successful attacks = 1, inputs = [['36']], input deviations = [['19.974629791639707']], output change = ['15.4326286407356'], times = [0.0012166500091552734], max_time = 0.0012166500091552734
input 41: successful attacks = 1, inputs = [['36']], input deviations = [['19.97553755049303']], output change = ['15.43332998566288'], times = [0.0011599063873291016], max_time = 0.0011599063873291016
input 42: successful attacks = 1, inputs = [['36']], input deviations = [['19.975302481396348']], output change = ['15.433148368575957'], times = [0.00118255615234375], max_time = 0.00118255615234375
input 43: successful attacks = 1, inputs = [['36']], input deviations = [['19.976500046885995']], output change = ['15.434073621442536'], times = [0.0011959075927734375], max_time = 0.0011959075927734375
input 44: successful attacks = 1, inputs = [['36']], input deviations = [['19.977047975501854']], output change = ['15.43449695739119'], times = [0.0012159347534179688], max_time = 0.0012159347534179688
input 45: successful attacks = 1, inputs = [['36']], input deviations = [['19.97605536476083']], output change = ['15.433730054919863'], times = [0.0011963844299316406], max_time = 0.0011963844299316406
input 46: successful attacks = 1, inputs = [['36']], input deviations = [['19.978246606634176']], output change = ['15.435423033585522'], times = [0.001180887222290039], max_time = 0.001180887222290039
input 47: successful attacks = 1, inputs = [['36']], input deviations = [['19.977990263224175']], output change = ['15.435224979719663'], times = [0.0012502670288085938], max_time = 0.0012502670288085938
input 48: successful attacks = 1, inputs = [['36']], input deviations = [['19.978567831363115']], output change = ['15.435671215504499'], times = [0.0011913776397705078], max_time = 0.0011913776397705078
input 49: successful attacks = 1, inputs = [['36']], input deviations = [['19.979169884591577']], output change = ['15.436136368750965'], times = [0.0011928081512451172], max_time = 0.0011928081512451172
input 50: successful attacks = 1, inputs = [['36']], input deviations = [['19.978891004855797']], output change = ['15.435920903060776'], times = [0.0011866092681884766], max_time = 0.0011866092681884766
input 51: successful attacks = 1, inputs = [['36']], input deviations = [['19.978273217530273']], output change = ['15.435443593469898'], times = [0.0012006759643554688], max_time = 0.0012006759643554688
input 52: successful attacks = 1, inputs = [['36']], input deviations = [['19.979083739191204']], output change = ['15.436069811824353'], times = [0.0011544227600097656], max_time = 0.0011544227600097656
input 53: successful attacks = 1, inputs = [['36']], input deviations = [['19.979502877809423']], output change = ['15.436393643139922'], times = [0.0011868476867675781], max_time = 0.0011868476867675781
input 54: successful attacks = 1, inputs = [['36']], input deviations = [['19.979517049150573']], output change = ['15.436404592080919'], times = [0.00115203857421875], max_time = 0.00115203857421875
input 55: successful attacks = 1, inputs = [['36']], input deviations = [['19.9813135368761']], output change = ['15.437792579153296'], times = [0.0011980533599853516], max_time = 0.0011980533599853516
input 56: successful attacks = 1, inputs = [['36']], input deviations = [['19.98080560919206']], output change = ['15.437400148384626'], times = [0.0012102127075195312], max_time = 0.0012102127075195312
input 57: successful attacks = 1, inputs = [['36']], input deviations = [['19.980771416558575']], output change = ['15.437373730762886'], times = [0.0011935234069824219], max_time = 0.0011935234069824219
input 58: successful attacks = 1, inputs = [['36']], input deviations = [['19.9812557287071']], output change = ['15.43774791589729'], times = [0.0011792182922363281], max_time = 0.0011792182922363281
input 59: successful attacks = 1, inputs = [['36']], input deviations = [['19.980418139328844']], output change = ['15.437100784713266'], times = [0.0011484622955322266], max_time = 0.0011484622955322266
input 60: successful attacks = 1, inputs = [['36']], input deviations = [['19.980750195860253']], output change = ['15.437357335407398'], times = [0.0011594295501708984], max_time = 0.0011594295501708984
input 61: successful attacks = 1, inputs = [['36']], input deviations = [['19.982208327509632']], output change = ['15.438483904684887'], times = [0.001163482666015625], max_time = 0.001163482666015625
input 62: successful attacks = 1, inputs = [['36']], input deviations = [['19.982165601219602']], output change = ['15.43845089386204'], times = [0.0012314319610595703], max_time = 0.0012314319610595703
input 63: successful attacks = 1, inputs = [['36']], input deviations = [['19.981958190081176']], output change = ['15.438290645631696'], times = [0.0011608600616455078], max_time = 0.0011608600616455078
input 64: successful attacks = 1, inputs = [['36']], input deviations = [['19.981462090727707']], output change = ['15.437907353567198'], times = [0.0011920928955078125], max_time = 0.0011920928955078125
input 65: successful attacks = 1, inputs = [['36']], input deviations = [['19.981811624885303']], output change = ['15.438177407676164'], times = [0.0011813640594482422], max_time = 0.0011813640594482422
input 66: successful attacks = 1, inputs = [['36']], input deviations = [['19.98151247919115']], output change = ['15.43794628427338'], times = [0.0012183189392089844], max_time = 0.0012183189392089844
input 67: successful attacks = 1, inputs = [['36']], input deviations = [['19.981354959542124']], output change = ['15.437824582781417'], times = [0.0012388229370117188], max_time = 0.0012388229370117188
input 68: successful attacks = 1, inputs = [['36']], input deviations = [['19.98197979976402']], output change = ['15.438307341521096'], times = [0.0011882781982421875], max_time = 0.0011882781982421875
